"MR1","MR2","MR3","MR4"
-510201.773016964,-451145.188497236,-368581.94207048,-152664.221293611
-3059764.38580488,-3206288.61147799,-1956979.62747428,-957936.635721558
-1157129.25980756,-1061286.43295034,-816645.164139923,-349462.852570487
-1209241.09035346,-1143319.38775583,-836091.194659706,-368099.481660051
-3352105.19687832,-3325594.88441447,-2238627.30834885,-1033624.93080544
1230277.94991212,1299630.19278504,781582.991184559,386053.199418757
-681401.046405752,-703169.822933448,-441310.256049674,-212411.095050359
-599372.508247638,-427884.318292142,-484681.108929615,-170698.562507733
-18125.6602553801,20333.2782509031,-31497.3971870078,-2344.81273909316
1742505.3739934,1711671.27228759,1172323.55423946,535860.171500016
1224864.21073799,1037829.17028595,907768.771211251,362673.340875258
-425227.395547177,-345923.74807159,-322416.005890221,-124689.493658929
1987221.93668383,1754670.68208902,1436879.79151704,594403.237903427
-703328.878907618,-796927.252228814,-419507.859531691,-225266.857738128
1266591.0811133,1418593.54079163,763854.558069874,404272.05258195
-4225595.57930008,-3791448.09701746,-3024809.58123767,-1269039.12847475
-328784.285270927,-485694.772521186,-138831.822214951,-114884.774551144
1402735.09574879,1129450.20608567,1069500.53695703,410333.773669853
-1252131.69332235,-1192090.12184557,-861585.763759927,-381851.616605096
974784.417093675,1005046.59843856,631766.798827183,303789.767695174
-2443647.0996727,-2241937.95179868,-1724253.00187235,-738060.21533901
-1380668.08547272,-1475064.47200144,-868738.351655782,-434647.235426276
-725287.566022979,-635811.923388109,-526752.604431237,-216552.344788879
458717.778620067,486315.088250828,290537.412137786,144091.413133243
2581651.80937934,2629201.39297509,1689689.74608741,801807.146661684
1484621.29306078,1536708.13707922,959161.065562352,463189.017543082
1647236.15643922,1487921.68686966,1174115.94148912,495541.830842187
2293160.73485725,2157385.68065286,1590981.75183435,697138.861798269
246103.21734321,284436.577113983,143966.871252848,79294.5646331545
1759695.52214998,1220074.59570722,1441275.31738509,498095.485029885
-175191.790145454,-215994.150246221,-95642.0788587832,-57591.9233373315
520121.908239205,273173.467114484,470272.659418031,139819.793914561
NA,NA,NA,NA
797827.073741461,607089.463169853,626163.713773314,230395.046918141
-949021.543232823,-874935.723904223,-667486.619925301,-286994.953018427
1298628.71542856,1255677.24337669,883801.369836175,397664.157576278
-291745.877415112,-7720.80705027166,-337435.684848518,-66108.0992855215
2221652.83291287,1938663.79532735,1618029.36402938,662577.864569775
37587.8841384839,64084.2175697742,11539.8163603688,13859.7640782044
-1307859.93191687,-1393679.0795068,-824749.180820014,-411422.532953901
-560890.925138054,-503993.628073471,-401132.100678345,-168508.183770171
245772.008304489,344896.720088865,112973.756905266,84339.7352094928
651766.703970443,487987.263247142,515559.463198263,187541.357368013
-1039026.27882601,-909448.882573105,-755319.766417241,-310110.407230202
1211101.97443471,1112271.99502377,853985.487623025,365888.445560314
126079.965544975,-105880.412777216,201107.732828577,19321.4014451506
1076382.5196762,1113318.34331043,695831.802171657,335751.150505408
4390359.24831465,3854396.99805963,3185719.83569257,1311333.21341939
-186650.946623614,-161554.396474032,-136605.084798188,-55554.3762598493
-200813.106772745,-324694.938969821,-70598.1310353981,-72544.424432337
451354.905861695,252426.516539341,400314.673614904,122635.92886575
1777068.34494225,1662678.10853872,1237562.77383793,539463.627424149
-1288165.65207037,-1369479.88427511,-813958.299406813,-404955.94761636
-523192.013329418,-472285.155675713,-373075.173982696,-157368.533650688
2324284.06493494,2193529.26321006,1609099.30651917,707181.242769309
756338.70461035,788195.839391572,485948.348356465,236422.297037342
263657.956559131,400886.316034691,105560.586455076,93094.1013273514
849846.48802387,876296.087341227,550759.20553259,264858.979199882
-818162.277225992,-741673.438101246,-581832.622562946,-246353.760305771
-562349.43365475,-733851.010619835,-286491.793694864,-188297.980231374
-706421.450795966,-634848.832914379,-505168.959553054,-212240.200237559
-316107.166588215,187318.817735358,-464663.131041921,-55061.8557567298
2952868.46460367,2948285.30731067,1962504.91094262,912109.115561798
-3859880.24671737,-3409623.95735141,-2790192.40810515,-1154661.12697204
-1882958.30048286,-1589471.52122317,-1398510.67799798,-557024.77726289
2246880.60976792,2229423.12207114,1500366.61640617,692855.114026436
201997.297484016,380893.386102437,43537.6257043375,77567.480438337
-654922.21091501,-605184.639547402,-459927.986342282,-198173.122395801
-124574.159878914,-105947.717357775,-92121.7697517536,-36919.6984886579
463117.711017985,316751.93533585,381515.358744308,130720.512203832
323096.997584822,390345.278963965,180438.440242032,105536.828369559
NA,NA,NA,NA
NA,NA,NA,NA
-2526059.91595086,-2664575.52219118,-1606747.29534105,-792335.878617302
-712629.067586678,-634812.113631365,-512451.580716214,-213629.714129703
-198694.331862593,-189318.727028013,-136647.372676383,-60607.9530051199
-729351.945268811,-743741.067286852,-476879.546133564,-226605.652876413
-1584586.04239096,-1358049.41626829,-1166556.23426022,-470490.837905722
215108.354016892,112892.984944843,194533.228353107,57818.4859272499
-1637423.90759515,-1573574.99619912,-1119279.79164146,-500592.193029752
836331.946277703,909211.061059306,518286.633488778,264612.72574267
116954.529970969,111208.361803154,80545.6819973775,35654.1844165721
-1489249.10337558,-1303779.28637918,-1082480.31106786,-444504.887436721
-933942.524533001,-1056100.1554197,-558140.46830449,-298950.505450769
755674.800570461,517721.817202342,622083.586510273,213374.00859438
-793692.870863628,-691775.975831574,-578459.695394939,-236638.851181096
1427867.85125386,1162456.09081533,1082198.83566979,418769.172764175
-851176.62282436,-882922.810948556,-548961.47956362,-265719.860038062
847027.444856169,570377.813877148,702313.970117817,238326.698796356
-166031.95600323,-226377.500749195,-79669.4628334498,-56416.012088175
2074649.33624429,2198562.93793302,1314482.08336909,651602.17929803
1009339.50061657,873899.303926265,738583.469033941,300439.90014488
-491697.911751089,-608263.556943792,-267395.676859041,-161813.263154066
-1537873.05834892,-1398048.89831603,-1091653.01407544,-463395.562083274
-656433.295161132,-566301.416490322,-481377.850358691,-195220.489689199
1446722.8593805,1449366.10695658,959031.621642038,447292.079120357
-245957.979584662,-208143.2878629,-182414.090379184,-72803.6106692054
-415591.359559078,-313549.344589179,-327531.24911597,-119787.347951011
-1577647.49691081,-1603454.64625622,-1034216.44256145,-489710.334438584
-964718.933415808,-859637.994933367,-693594.461695662,-289221.994498015
1188252.91441143,865075.778776002,952375.238921732,339831.706453437
492126.643583241,600539.028111321,271807.870426515,161256.704512754
-149112.2726351,-350689.798604148,3051.53821171289,-63145.0444303066
721554.619276602,577386.200601651,551958.804800368,210769.225617488
3012468.74178213,2898120.64776711,2057632.9510961,921234.326070869
961671.487497571,867034.632230458,686284.04243123,289164.43355483
-40373.0123046282,-75673.8212778576,-8930.65555466283,-15464.7776179013
-686082.952860651,-691821.898962515,-452531.940647652,-212499.565681806
-1405426.06765565,-1534726.02226225,-867506.49362321,-445255.096087497
292631.149575838,230427.89064029,225741.060737355,85161.7659609533
3719852.97604684,3796862.26241411,2430346.88812153,1156031.86968607
-550629.308501314,-593029.570700297,-344059.701123715,-173745.644416663
129885.141234463,6345.95211356802,148753.297349725,29677.7474156546
-240750.714713888,-447249.505705761,-55291.5082346464,-91880.9335241786
655919.0608442,587743.217979302,469925.072219992,196921.345764355
1178082.00035677,1101820.25920886,820640.119282824,357594.993175507
373814.814056089,459807.043761066,204620.736657899,122797.435097955
-2370488.41832075,-2263256.95538796,-1627865.01768495,-723451.823200442
-360665.176335819,-335509.940632678,-252151.351119971,-109324.36146928
-73934.3297857793,-35962.5583676973,-68300.0562802583,-19632.6370218432
-1740677.568187,-1815015.74839492,-1117874.63733094,-544199.149030319
-231385.189341366,-372296.962074762,-82271.6125327756,-83432.4849810232
1617241.16346315,1405996.03722921,1180489.63046207,481874.573655099
987903.670944769,799142.968912101,751344.706307992,289301.742429559
1459046.56823074,1342529.2584362,1027530.20130941,441010.555666011
2310398.41953426,2241195.93979057,1568728.11449615,708099.867024982
42367.3423770856,76758.8773020861,10718.5470139826,16004.4170975284
NA,NA,NA,NA
1167925.6124972,1134631.45647814,792147.802148277,358094.457189139
-841451.53395083,-437705.704058201,-762944.993792395,-225842.605862424
-3298847.07068238,-3235960.63914109,-2221682.68023662,-1014088.57384129
3470772.89553541,3379448.09611283,2350208.76912571,1064808.38821498
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
60671.7213260685,331735.818018635,-96932.3417302486,41697.0141440375
-1149099.1902318,-1063518.49245933,-806117.219170869,-347849.604597307
NA,NA,NA,NA
3866546.81191623,3510130.89445798,2747120.29225344,1164667.85372841
1584997.15596319,1233354.2470607,1230156.20744581,460025.357948819
257111.950277543,-1328.20338670985,301494.683157031,57571.3036421838
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
591958.547971907,439466.775559825,470142.144669811,170017.995826462
247995.057397884,624978.767733279,-26196.9786119077,108553.426209403
443889.858170772,298388.222994172,368316.201453834,124852.758314765
564046.720916664,714667.585909165,298187.673395668,187055.132733431
263114.777137101,211319.028842194,200880.46521919,76922.0939843121
611785.181565055,712310.636202303,355234.98898208,197565.677426246
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
302410.409516132,365282.046936884,168921.933011387,98774.628090516
441341.876507704,608429.458266957,208397.853510543,150531.845014029
-1360059.32402721,-1401089.95911496,-882072.938806728,-423760.837378253
-1118473.59614592,-1310761.42532158,-645139.359602553,-361914.283240908
2335992.71657057,2479133.67987204,1478233.63704736,733990.502133918
-495279.604233425,-452240.2253292,-350564.044347004,-149407.340434629
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
1051543.78226485,1416714.52674451,513200.136969322,355867.266460735
-1581261.38760392,-1538984.35016189,-1071079.43330847,-485062.073176387
NA,NA,NA,NA
-460724.476892469,-498408.912499565,-286762.348850181,-145563.184518239
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
-943803.464267874,-1072296.40313653,-561479.46648422,-302532.122111034
-444747.705395501,-142541.103397334,-448206.809710995,-111848.551087882
-276527.611128126,-41407.7081987464,-302578.590630706,-65545.3134068973
-6071352.79475844,-6104437.41637643,-4013563.01305108,-1878973.91833807
-1315473.47356799,-1272153.27072159,-895171.460793536,-402840.09657301
NA,NA,NA,NA
1037085.3296506,1007470.72625707,703432.491778552,317974.358859629
283569.430284755,298011.387713351,180930.138583158,88851.7531965107
-406707.409689196,-382705.211245748,-282131.462480091,-123648.653512379
-309778.184234945,-173424.169265988,-274658.136022722,-84182.3842045129
1161691.01748895,1102067.91645017,801337.233812475,353937.858824935
-541356.980148492,-539385.522703844,-360363.262401839,-167122.353078811
-1213799.54562345,-1290172.4864441,-767089.718567024,-381554.767090119
687803.670012566,857362.874834602,370752.272866899,226902.918748466
789859.395116212,801550.66181351,518411.755595455,245074.278768556
2002806.31333818,1877521.23819789,1392929.30270882,608302.996172843
1565613.21437035,1181418.77316394,1233762.09258174,451277.815365419
-123198.640175915,128264.275377785,-209065.936533683,-16780.310276634
-35067.1943884701,-96421.8951387245,7781.14770407871,-16030.9974864805
793446.418572309,732157.018851516,557734.895500163,240003.371423529
-1402445.38597905,-1340430.8814127,-962365.242555788,-428133.274364552
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
335032.763017824,425849.082648291,176433.144096707,111221.686159477
2605214.13073147,2498501.76378648,1783419.19359544,796029.927345454
NA,NA,NA,NA
-1069343.0717969,-1120110.15200389,-684158.830875581,-334747.411500361
785322.185870017,629542.684429524,600168.466049681,229492.214646073
1906242.64025169,1527404.33759759,1457170.10482924,556993.720345594
2502446.26174573,2258194.8518382,1784819.13778241,752625.91433402
1458200.94092013,1413768.1561205,990479.086794225,446852.083483445
187378.704084404,133038.19795043,151893.635424161,53302.8654351436
NA,NA,NA,NA
665990.415743055,554563.877113444,498502.659469793,196371.180379832
957915.409608371,1019923.80784645,604500.475100705,301265.148665707
1822079.43765106,1628775.74235705,1307386.37653856,546693.946690333
-528425.896730242,-611533.250056523,-308712.204848459,-170330.175775698
NA,NA,NA,NA
NA,NA,NA,NA
-1805017.46015909,-1569295.67919429,-1317532.41959087,-537831.404847309
581435.023566715,477416.198725425,438622.595291579,170868.775551926
NA,NA,NA,NA
-1628048.89378176,-1535174.04299271,-1127749.09382022,-495237.888012857
-1147430.39545417,-1225246.22165044,-722301.910198575,-361167.05328106
-25651.7421469467,-27893.8242159335,-15893.3754545955,-8116.79441979558
1895493.62226588,1728920.36770365,1342589.47609923,571644.220278938
-156373.113130269,-80611.3693194118,-142153.301218515,-41906.7710150988
381269.844780676,384046.428085901,251691.177736537,118055.212315481
-903669.278621562,-900706.51610928,-601376.097754216,-279001.821804386
1934745.13483466,2136688.20893646,1182111.37441541,614975.318074973
351583.705804682,177631.007533907,321443.927800734,93918.9386837187
3184363.89726704,3130514.99581345,2141114.28602498,979473.890054706
303293.929003599,287048.696996254,209558.8852473,92349.4668162405
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
-1035803.52920451,-1065521.00665268,-672549.946934055,-322600.131521076
-106449.278781329,-108677.70940738,-69534.7602539323,-33084.9706895478
NA,NA,NA,NA
954864.462009902,1028235.676163,596721.463144962,301283.532764377
-1271238.44839924,-1354650.26925628,-801658.180619815,-399900.138760483
-1803414.80887748,-1729228.13707072,-1234701.13217771,-551011.244922613
-1023246.64965131,-921470.382729223,-730773.156768467,-307588.335554322
-212046.759125585,-141401.694080331,-176520.394748847,-59545.2241451775
2492218.61343742,2346610.82922387,1728097.46864604,757818.886813887
-623937.472691868,-512100.195288954,-470795.136471566,-183341.623478943
842694.272431886,909869.402151912,525396.617765267,266097.843324401
3034486.73975118,2867107.61662267,2099086.77892539,923546.992108401
NA,NA,NA,NA
-1477786.33711544,-1406722.99350499,-1016959.95416108,-450650.247162763
1538984.18855241,1517920.65918842,1032277.01057981,473794.483481392
569808.256861825,462395.154256022,432623.850014433,166988.503206407
1724175.19487259,1336699.88694602,1340680.05321363,499997.894283444
-592947.385744189,-512339.348475864,-434416.007062372,-176408.176847545
NA,NA,NA,NA
97164.0431378009,208147.78797293,8321.74228937289,39420.6389965246
NA,NA,NA,NA
-2575983.40656328,-2780888.05882712,-1606280.06102102,-813379.663552797
-1030380.1668904,-1080891.47554004,-658423.053401183,-322685.335323645
1425986.78286571,1535093.13885712,891377.254968675,449897.781248616
-1079412.670907,-1156555.99040582,-677491.295950905,-340092.043718672
443906.465047979,437300.320025363,298019.821923635,136616.170464329
-1730217.09628385,-1675849.83497015,-1176078.49208978,-530068.929973623
-650359.565479422,-697217.957531006,-408004.12219588,-204941.660736948
NA,NA,NA,NA
NA,NA,NA,NA
-933706.160842923,-797908.421674506,-688556.818206883,-277038.913127393
617123.631996852,643928.945377115,396091.708934524,192971.754488809
-1898088.29255335,-1565373.28507459,-1428410.03047666,-558380.457002893
516771.317555345,667266.091536939,266868.351584548,172435.437361736
NA,NA,NA,NA
2637735.11882703,2715071.37982153,1711845.8893161,821661.276648311
NA,NA,NA,NA
-2137614.80390747,-1968521.3853917,-1504590.80941977,-646250.929467731
-486503.605708981,-519637.272585989,-306181.142445694,-153145.297459639
211835.354061205,124430.725452608,184864.198888793,58060.609644656
-705095.331718859,-509823.154669616,-566903.594823234,-201357.112274251
315121.598182919,271810.349325699,231112.051238129,93713.3249040036
-496846.089936085,-340157.550720967,-409131.589283979,-140270.106043507
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
278578.234648945,182169.521686447,233725.56567947,77924.2719543814
NA,NA,NA,NA
-830332.228478653,-902667.953531111,-514579.505218928,-262713.669716055
-435543.39694914,-638878.09774554,-186200.382372504,-151807.272555041
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
670746.547451707,686339.518710834,437364.501794229,208595.244274774
1403882.90422508,1316883.02796256,975967.670934795,426462.132970566
NA,NA,NA,NA
NA,NA,NA,NA
780510.488738264,1027519.92298413,393090.878936414,262107.572618636
-769758.47468364,-789461.446902539,-501011.555714717,-239537.465992839
2083648.94103819,2030977.19583581,1409836.24228088,639432.662786746
3386569.42561807,3122997.29337391,2381498.35780295,1024203.79082188
-3505066.72167728,-3196016.77779697,-2483182.7155143,-1056972.96960895
-480283.433254713,-546266.737344311,-285424.327722784,-154003.787144325
-114156.648968807,-28818.1709742683,-118977.289154844,-28051.4103834712
-629266.963919756,-602952.901407893,-431041.365215337,-192227.372603415
NA,NA,NA,NA
75889.8188771332,-29227.8739070174,103585.907648096,14552.5890689432
-1086718.44631046,-852089.271288505,-840152.908140283,-315954.475641524
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
1018367.89566159,842636.848212403,764968.655747602,299818.717725077
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
-2085353.25199631,-1991644.88115232,-1431739.42043393,-636482.824774075
-1089250.46527064,-1093869.8186512,-720732.635818403,-336992.888712121
NA,NA,NA,NA
-1414395.86968199,-1447161.97342091,-922324.192827725,-439851.810506702
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
483768.627311434,628709.093204746,247770.626875077,161765.933783414
787261.40713778,703364.96048364,565070.173991185,236177.646480985
1097480.29760358,1128590.95921054,712781.567843158,341776.171908438
NA,NA,NA,NA
-917963.818399722,-834286.27904892,-651722.415817554,-276584.259472698
NA,NA,NA,NA
-163458.788320976,-109389.633876887,-135876.93465229,-45935.8689647486
127517.467498833,188020.896327877,54024.0427019288,44527.1570458143
-278318.200650383,-427882.95510583,-109047.604400293,-98669.6772284114
NA,NA,NA,NA
-1900157.4031426,-1898172.75944054,-1262372.20320297,-587019.410781026
2698980.80701616,2661952.86131912,1810392.15413564,830906.262258049
2661901.16611004,2534284.53233503,1831632.18515814,811778.658600399
NA,NA,NA,NA
-2517775.10300201,-2850006.85088356,-1503192.73877005,-806172.959829256
NA,NA,NA,NA
NA,NA,NA,NA
1366627.72785582,1241737.91151414,970415.789170011,411743.477165167
1120302.31359673,1042105.73695235,783262.758529692,339574.424870751
-766681.973910654,-816765.227160395,-483590.971094768,-241160.440416097
645755.620985858,771047.805694558,365246.687529633,210159.988607499
-556893.046056433,-460016.605453917,-418715.995600245,-163891.137397703
845208.372997336,843808.941489272,561776.791945988,261067.610461231
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
-166066.530968273,-164413.479018659,-111075.336663883,-51178.3090461639
NA,NA,NA,NA
-1504682.08506364,-1141105.94159601,-1182877.82113159,-434194.138586942
NA,NA,NA,NA
-1475320.2729364,-1408654.62201092,-1013098.83063113,-450258.360748819
NA,NA,NA,NA
-512925.601181064,-341719.04850783,-427153.351672079,-144009.524722321
21243.0273862671,338527.154391622,-146501.901144341,33429.1284706787
-2901.52314620964,-1268.44187331468,-2755.19695824916,-758.428411070727
141698.523417788,113419.284714674,108377.072679231,41394.4236355699
1093423.68844591,1239516.78268862,651891.770804489,350260.399973111
NA,NA,NA,NA
-91753.1225251962,-114952.570072079,-49164.0031992053,-30317.4411054283
NA,NA,NA,NA
953446.499204237,833415.23294959,693678.667979642,284471.77682202
237926.308804693,-30276.1426484165,293704.783119986,50817.9676929801
-175191.790145454,-215994.150246221,-95642.0788587832,-57591.9233373315
374535.1693114,354194.342881332,258923.186105821,114016.616883526
NA,NA,NA,NA
NA,NA,NA,NA
1589897.71863367,1651909.35837529,1024023.42954408,496561.847542887
NA,NA,NA,NA
-503208.178832052,-484042.463015932,-343745.074319651,-153878.134226105
-411368.83187867,-172254.399452247,-394113.449806756,-106876.153993775
-60078.4054574942,-51358.3331692395,-44297.7347071671,-17826.4128275723
470277.209365811,828008.797006944,131104.780272607,175612.916186469
636369.722807589,835515.282345039,321630.940158854,213513.397005626
-6605.55073192148,107878.134453922,-62335.2690906929,7652.49012407686
911498.686451616,1110080.27462481,504553.107159565,298485.558420339
NA,NA,NA,NA
-1179762.06139154,-1118155.55664953,-814338.581493214,-359354.057489361
-1068113.1144372,-886421.212649966,-801009.081672088,-314685.121183808
1152225.45088451,1132257.08193322,774981.465484733,354370.566057022
-53891.0951127087,-62970.8002220196,-31178.0121373215,-17421.0044012056
283843.544983141,277868.793516569,191445.22936427,87206.8281877895
-932499.61466793,-994343.717958174,-587710.025709471,-293397.055950795
NA,NA,NA,NA
198947.651908335,166379.958189918,148550.683483961,58722.6064832956
2267437.0544412,2178063.18902617,1550416.95412912,693118.013816809
NA,NA,NA,NA
NA,NA,NA,NA
643312.11271301,615820.515164929,440962.803502705,196470.424534186
2037543.26586266,2174105.89422798,1283446.23309875,641207.136837294
589735.198849815,867769.840527845,250746.048964801,205781.344996118
418099.827141274,221390.545379615,377118.205285772,112548.130878036
782097.377045872,733965.300257308,543538.533325264,237609.362807596
7690032.11291878,7289411.01322657,5307617.97679416,2342459.35980932
4189662.67221195,4280091.84228657,2735429.04558213,1302350.14096934
NA,NA,NA,NA
-1309860.02957169,-1183382.2308028,-933537.946891204,-394064.266796122
427863.73682171,425303.895579215,285319.590483738,131999.457629838
NA,NA,NA,NA
NA,NA,NA,NA
-1376935.29949325,-1501092.01075949,-851199.166613569,-436013.958970523
873110.052022086,632875.950632875,701193.033318153,249469.15320065
1403271.37584612,1187426.66051356,1040782.18348022,415366.135175423
NA,NA,NA,NA
-232059.510289753,-284216.005639047,-127646.338946651,-76127.8602112604
741470.827988822,619257.847273579,554067.227801442,218782.364621122
552159.862868246,479918.009170558,403103.987491045,164511.921080015
1920395.14506477,1937574.56065513,1266110.16649936,594896.926707992
3820825.07766314,3940778.60768684,2475634.17741861,1190870.38686919
NA,NA,NA,NA
NA,NA,NA,NA
-1893690.47532594,-1807058.85870125,-1300930.2818936,-577853.851760259
-1041233.09318435,-1021934.0074413,-700967.832999041,-320128.716825178
-672631.007126144,-714846.709427967,-425141.223827572,-211431.325322219
2263238.79937195,2147840.43324756,1560802.96027359,689616.548643041
906308.69819388,841793.765624416,634284.040970037,274606.811191031
-652572.435447896,-545481.081249327,-487400.676324468,-192590.534155339
-176557.259049894,-55996.2394995127,-178229.82581322,-44353.962837151
NA,NA,NA,NA
-1251175.0196021,-1194361.78846478,-859318.836460367,-381828.545887823
NA,NA,NA,NA
130490.320566905,30687.4395752431,137139.327467614,31873.0640854964
1816848.22653981,1826066.44450132,1201399.37654396,562223.448481258
3196645.11673995,3154082.44210167,2143552.69884887,984226.983902953
-1748366.55732375,-1743384.05791931,-1163128.7727964,-539858.535678823
542924.41750597,246170.435325888,510617.034072608,142649.738809848
-1896802.75345258,-1780786.19282072,-1317867.46036668,-576327.912176552
943831.730391777,867764.395461394,665042.91560423,285222.045417394
-415010.816994071,-416956.131130271,-274510.010941268,-128411.5162288
-296612.062604306,-240778.137979167,-225159.063529944,-86930.928978926
-397469.161832569,-356334.637784812,-284669.483604928,-119342.138577095
1402324.40835599,1472290.45347658,895481.667396497,439270.226386556
1172068.54237877,1088297.51331364,820447.858985995,355099.981366765
NA,NA,NA,NA
NA,NA,NA,NA
-62288.0248821917,-195901.584365041,26284.1272570981,-30561.869232699
35813.8997281218,-156300.463158655,121022.434356043,-5196.66940680752
-284021.261738119,-457842.446948069,-100552.068327805,-102483.965273252
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
-2148926.0684272,-2296910.35010739,-1351606.29602819,-676591.073315433
NA,NA,NA,NA
-2305259.99714958,-2230421.78485422,-1568169.5098881,-706035.647433198
1609105.43779304,1894374.50767968,923763.902747496,521399.858495896
NA,NA,NA,NA
